base,layer,head,score_base,score_ppo,delta_induction
50M,6,10,0.007378337439149618,0.007904660888016224,0.0005263234488666058
50M,6,11,0.005251242313534021,0.00487593375146389,-0.0003753085620701313
50M,7,0,0.020439445972442627,0.01976223848760128,-0.0006772074848413467
50M,7,1,0.008285480551421642,0.008053227327764034,-0.00023225322365760803
50M,7,2,0.014924075454473495,0.014241562224924564,-0.0006825132295489311
50M,7,3,0.02369883842766285,0.023464005440473557,-0.0002348329871892929
50M,7,4,0.019689733162522316,0.019966069608926773,0.0002763364464044571
50M,7,5,0.01986844837665558,0.019148042425513268,-0.0007204059511423111
50M,7,6,0.023952795192599297,0.023810509592294693,-0.00014228560030460358
50M,7,7,0.01975947804749012,0.0196092426776886,-0.0001502353698015213
50M,7,8,0.012227059341967106,0.009299022145569324,-0.0029280371963977814
50M,7,9,0.018588395789265633,0.018013106659054756,-0.0005752891302108765
50M,7,10,0.01990831270813942,0.020083097741007805,0.00017478503286838531
50M,7,11,0.023182306438684464,0.021822268143296242,-0.0013600382953882217
50M,8,0,0.02915329858660698,0.028774797916412354,-0.00037850067019462585
50M,8,1,0.015457536093890667,0.016387907788157463,0.0009303716942667961
50M,8,2,0.01572216860949993,0.01481757964938879,-0.0009045889601111412
50M,8,3,0.027887631207704544,0.0254228375852108,-0.002464793622493744
50M,8,4,0.0260738767683506,0.02538614720106125,-0.0006877295672893524
50M,8,5,0.0051489281468093395,0.007642317097634077,0.0024933889508247375
50M,8,6,0.02498891018331051,0.023901408538222313,-0.0010875016450881958
50M,8,7,0.014667156152427197,0.013442904688417912,-0.001224251464009285
50M,8,8,0.0048492588102817535,0.005941362120211124,0.0010921033099293709
50M,8,9,0.009472498670220375,0.01243884488940239,0.0029663462191820145
50M,8,10,0.013030096888542175,0.013536130078136921,0.0005060331895947456
50M,8,11,0.008731711655855179,0.010800004005432129,0.00206829234957695
50M,9,0,0.024365395307540894,0.024817781522870064,0.0004523862153291702
50M,9,1,0.024791087955236435,0.023005366325378418,-0.001785721629858017
50M,9,2,0.011717312037944794,0.010930461809039116,-0.0007868502289056778
50M,9,3,0.01284185703843832,0.01244688592851162,-0.0003949711099267006
50M,9,4,0.012933737598359585,0.012492074631154537,-0.0004416629672050476
50M,9,5,0.010677387937903404,0.00953096617013216,-0.001146421767771244
50M,9,6,0.02336130104959011,0.022874979302287102,-0.00048632174730300903
50M,9,7,0.014435880817472935,0.01595369353890419,0.0015178127214312553
50M,9,8,0.011168811470270157,0.010975073091685772,-0.00019373837858438492
50M,9,9,0.024619750678539276,0.0237390398979187,-0.000880710780620575
50M,9,10,0.026923442259430885,0.026442065834999084,-0.00048137642443180084
50M,9,11,0.01412398274987936,0.015895947813987732,0.0017719650641083717
50M,10,0,0.024713663384318352,0.022561773657798767,-0.0021518897265195847
50M,10,1,0.016131993383169174,0.014421350322663784,-0.0017106430605053902
50M,10,2,0.024537406861782074,0.022170033305883408,-0.0023673735558986664
50M,10,3,0.02297254092991352,0.02211920917034149,-0.0008533317595720291
50M,10,4,0.012166982516646385,0.011693096719682217,-0.00047388579696416855
50M,10,5,0.02036183513700962,0.021296940743923187,0.0009351056069135666
50M,10,6,0.0221677478402853,0.022059939801692963,-0.00010780803859233856
50M,10,7,0.022453606128692627,0.02129669487476349,-0.0011569112539291382
50M,10,8,0.02123548649251461,0.02105778269469738,-0.00017770379781723022
50M,10,9,0.02951045334339142,0.029585029929876328,7.457658648490906e-05
50M,10,10,0.02641536295413971,0.025185147300362587,-0.0012302156537771225
50M,10,11,0.01631804183125496,0.015812071040272713,-0.0005059707909822464
50M,11,0,0.026624731719493866,0.024740176275372505,-0.0018845554441213608
50M,11,1,0.021209096536040306,0.020792942494153976,-0.00041615404188632965
50M,11,2,0.0220518559217453,0.021795526146888733,-0.0002563297748565674
50M,11,3,0.023700963705778122,0.022568458691239357,-0.001132505014538765
50M,11,4,0.02590021677315235,0.025532087311148643,-0.0003681294620037079
50M,11,5,0.025767922401428223,0.025608107447624207,-0.0001598149538040161
50M,11,6,0.020628243684768677,0.02018144354224205,-0.0004468001425266266
50M,11,7,0.024094289168715477,0.024432804435491562,0.0003385152667760849
50M,11,8,0.01854327693581581,0.018434736877679825,-0.00010854005813598633
50M,11,9,0.024731263518333435,0.023068973794579506,-0.0016622897237539291
50M,11,10,0.023939842358231544,0.022919921204447746,-0.0010199211537837982
50M,11,11,0.01811368018388748,0.0210788082331419,0.0029651280492544174
