checkpoint,layer,head,entropy
10M,5,8,2.5473358631134033
10M,5,9,2.4728221893310547
10M,5,10,2.5826566219329834
10M,5,11,2.515454053878784
10M,6,0,2.4519615173339844
10M,6,1,2.476677417755127
10M,6,2,2.5766797065734863
10M,6,3,2.5495355129241943
10M,6,4,2.5622799396514893
10M,6,5,2.5790812969207764
10M,6,6,2.506375551223755
10M,6,7,2.5424644947052
10M,6,8,2.4940085411071777
10M,6,9,2.5749778747558594
10M,6,10,2.5384392738342285
10M,6,11,2.5636355876922607
10M,7,0,2.5533463954925537
10M,7,1,2.5680136680603027
10M,7,2,2.4183945655822754
10M,7,3,2.5535881519317627
10M,7,4,2.114290237426758
10M,7,5,2.4191460609436035
10M,7,6,2.595829725265503
10M,7,7,2.5313267707824707
10M,7,8,2.5052011013031006
10M,7,9,2.569622755050659
10M,7,10,2.5644848346710205
10M,7,11,2.581193685531616
10M,8,0,2.5964407920837402
10M,8,1,2.594639539718628
10M,8,2,2.584514856338501
10M,8,3,2.4864706993103027
10M,8,4,2.538560390472412
10M,8,5,2.585078716278076
10M,8,6,2.5735816955566406
10M,8,7,2.590585470199585
10M,8,8,2.5469515323638916
10M,8,9,1.869692087173462
10M,8,10,2.551787853240967
10M,8,11,2.37794828414917
10M,9,0,2.5510001182556152
10M,9,1,2.525007963180542
10M,9,2,2.4816536903381348
10M,9,3,2.5759942531585693
10M,9,4,2.590390920639038
10M,9,5,2.5339677333831787
10M,9,6,2.457571029663086
10M,9,7,2.5517759323120117
10M,9,8,2.567783832550049
10M,9,9,2.5421366691589355
10M,9,10,2.5976977348327637
10M,9,11,2.598919153213501
10M,10,0,2.5915637016296387
10M,10,1,2.6042978763580322
10M,10,2,2.58017897605896
10M,10,3,2.5958313941955566
10M,10,4,2.559354305267334
10M,10,5,2.550257444381714
10M,10,6,2.5055716037750244
10M,10,7,2.5344996452331543
10M,10,8,2.3974268436431885
10M,10,9,2.6076858043670654
10M,10,10,2.6158204078674316
10M,10,11,2.5690805912017822
10M,11,0,2.593502998352051
10M,11,1,2.517570972442627
10M,11,2,2.5528604984283447
10M,11,3,2.6276841163635254
10M,11,4,2.5039384365081787
10M,11,5,2.5987181663513184
10M,11,6,2.6086173057556152
10M,11,7,2.51218843460083
10M,11,8,2.601623773574829
10M,11,9,2.586280345916748
10M,11,10,2.57521915435791
10M,11,11,2.588427782058716
20M,0,0,2.543724775314331
20M,0,1,2.5596327781677246
20M,0,2,2.559995174407959
20M,0,3,2.5438971519470215
20M,0,4,2.5089681148529053
20M,0,5,2.5208687782287598
20M,0,6,2.5342183113098145
20M,0,7,2.581071376800537
20M,0,8,2.5410609245300293
20M,0,9,2.5797200202941895
20M,0,10,2.539747476577759
20M,0,11,2.5131609439849854
20M,1,0,2.5890676975250244
20M,1,1,2.5817713737487793
20M,1,2,2.4553284645080566
20M,1,3,2.5654425621032715
20M,1,4,2.280980348587036
20M,1,5,1.6118606328964233
20M,1,6,2.5028038024902344
20M,1,7,2.013765335083008
20M,1,8,2.1066088676452637
20M,1,9,2.397606372833252
20M,1,10,2.492140293121338
20M,1,11,2.4832797050476074
20M,2,0,2.3203580379486084
20M,2,1,2.347655773162842
20M,2,2,2.3473968505859375
20M,2,3,2.4630508422851562
20M,2,4,2.2498598098754883
20M,2,5,2.4505813121795654
20M,2,6,2.1776480674743652
20M,2,7,2.3615612983703613
20M,2,8,2.307997703552246
20M,2,9,2.5156326293945312
20M,2,10,2.4936912059783936
20M,2,11,2.3152763843536377
20M,3,0,1.933105707168579
20M,3,1,2.375002861022949
20M,3,2,2.0364251136779785
20M,3,3,2.332287311553955
20M,3,4,2.5836520195007324
20M,3,5,2.303971767425537
20M,3,6,2.3522415161132812
20M,3,7,2.538456678390503
20M,3,8,2.1566576957702637
20M,3,9,2.4262473583221436
20M,3,10,2.35827374458313
20M,3,11,2.452509880065918
20M,4,0,2.5477914810180664
20M,4,1,2.238746166229248
20M,4,2,2.3680691719055176
20M,4,3,2.4554057121276855
20M,4,4,1.9823964834213257
20M,4,5,2.459179401397705
20M,4,6,2.3779242038726807
20M,4,7,2.4084835052490234
20M,4,8,2.4945995807647705
20M,4,9,2.1534624099731445
20M,4,10,2.3224377632141113
20M,4,11,2.3609282970428467
20M,5,0,2.089416742324829
20M,5,1,2.2251827716827393
