checkpoint,layer,head,dla_contribution
10M,11,3,0.0004557357751764357
10M,11,4,7.124576950445771e-05
10M,11,5,0.0020455613848753273
10M,11,6,-0.0006427312619052827
10M,11,7,0.005410952406236902
10M,11,8,0.0010763343307189643
10M,11,9,0.0028291665366850793
10M,11,10,0.003371158614754677
10M,11,11,-0.0036689966218546033
200M,0,0,0.000661947691696696
200M,0,1,-0.0018810233741533011
200M,0,2,-0.007060084957629442
200M,0,3,-0.0017004054971039295
200M,0,4,0.00015651254216209054
200M,0,5,0.0020421442459337413
200M,0,6,0.0032548559247516096
200M,0,7,0.0006983625353313982
200M,0,8,-0.001072668659617193
200M,0,9,-0.0009026425250340253
200M,0,10,0.00037406601768452674
200M,0,11,-0.002297638973686844
200M,1,0,-0.007580703473649919
200M,1,1,-0.005611353146377951
200M,1,2,-0.0003437868144828826
200M,1,3,-0.00017946260049939156
200M,1,4,0.008052927209064364
200M,1,5,-0.006519188289530575
200M,1,6,-0.0006635038880631328
200M,1,7,-0.005057585192844272
200M,1,8,0.0030921900761313736
200M,1,9,0.004130522487685084
200M,1,10,-0.00013105757534503937
200M,1,11,-0.0032931617461144924
200M,2,0,-0.0010003328789025545
200M,2,1,-0.003513892414048314
200M,2,2,-0.0024496561964042485
200M,2,3,0.01863097376190126
200M,2,4,-0.004997989919502288
200M,2,5,-0.00562274013645947
200M,2,6,-0.002131357789039612
200M,2,7,-0.016715286998078227
200M,2,8,-0.002427073661237955
200M,2,9,-0.003332683350890875
200M,2,10,-0.0030716059845872223
200M,2,11,0.0015503885224461555
200M,3,0,0.006502022268250585
200M,3,1,-0.010752009926363826
200M,3,2,-0.0017844891408458352
200M,3,3,0.0027415596414357424
200M,3,4,-0.0014169481582939625
200M,3,5,-0.0003249417059123516
200M,3,6,0.0032505650306120515
200M,3,7,-0.0002734022564254701
200M,3,8,0.0025312927609775215
200M,3,9,0.0034575042664073408
200M,3,10,-0.0005815860349684954
200M,3,11,-0.003886832855641842
200M,4,0,-0.00019264855654910207
200M,4,1,0.015714063891209662
200M,4,2,-0.03927438799291849
200M,4,3,-0.00177036999957636
200M,4,4,-0.0037245163694024086
200M,4,5,-0.01303518412169069
200M,4,6,-0.023084196727722883
200M,4,7,0.0024108734214678407
200M,4,8,-3.373099025338888e-05
200M,4,9,0.0020770863629877567
200M,4,10,-0.005867006373591721
200M,4,11,0.007939380418974906
200M,5,0,-0.008702135877683759
200M,5,1,0.018010088242590427
200M,5,2,-0.0009692823514342308
200M,5,3,-0.037546621169894934
200M,5,4,0.007705531897954643
