layer,head,dla_contribution,probe,checkpoint
8,3,0.004051515366882086,king/queen,10M
8,4,0.0014463993720710278,king/queen,10M
8,5,-0.0023251771926879883,king/queen,10M
8,6,0.0030497307889163494,king/queen,10M
8,7,-6.969086825847626e-06,king/queen,10M
8,8,0.0008239154703915119,king/queen,10M
8,9,0.0028310499619692564,king/queen,10M
8,10,0.0033455523662269115,king/queen,10M
8,11,-0.0041721295565366745,king/queen,10M
9,0,0.0036372896283864975,king/queen,10M
9,1,-0.004573430400341749,king/queen,10M
9,2,-0.0033294502645730972,king/queen,10M
9,3,-0.0014128503389656544,king/queen,10M
9,4,0.0008082225685939193,king/queen,10M
9,5,-0.005233171861618757,king/queen,10M
9,6,0.00029598583932965994,king/queen,10M
9,7,0.0009058202267624438,king/queen,10M
9,8,0.002404141705483198,king/queen,10M
9,9,0.000922671053558588,king/queen,10M
9,10,-0.00245245941914618,king/queen,10M
9,11,0.0006505202036350965,king/queen,10M
10,0,0.0013957861810922623,king/queen,10M
10,1,0.0023957248777151108,king/queen,10M
10,2,-0.00041120219975709915,king/queen,10M
10,3,-0.0011237836442887783,king/queen,10M
10,4,-0.0022770818322896957,king/queen,10M
10,5,0.003068028250709176,king/queen,10M
10,6,-0.0038571744225919247,king/queen,10M
10,7,-0.00429333932697773,king/queen,10M
10,8,0.0008505366276949644,king/queen,10M
10,9,0.0009557807352393866,king/queen,10M
10,10,0.0013582928804680705,king/queen,10M
10,11,0.0026875606272369623,king/queen,10M
11,0,-0.0017676398856565356,king/queen,10M
11,1,0.0010497459443286061,king/queen,10M
11,2,-0.0032112719491124153,king/queen,10M
11,3,-0.0009800263214856386,king/queen,10M
11,4,-0.0014580446295440197,king/queen,10M
11,5,0.004080350510776043,king/queen,10M
11,6,-0.003624402452260256,king/queen,10M
11,7,0.005935540422797203,king/queen,10M
11,8,-0.0015086971689015627,king/queen,10M
11,9,-0.0027941251173615456,king/queen,10M
11,10,0.001989759039133787,king/queen,10M
11,11,0.000885967630892992,king/queen,10M
0,0,-0.0005116933025419712,man/woman,10M
0,1,0.0011734487488865852,man/woman,10M
0,2,0.000530092278495431,man/woman,10M
0,3,-0.0005719519103877246,man/woman,10M
0,4,0.0013717464171350002,man/woman,10M
0,5,0.00039617158472537994,man/woman,10M
