checkpoint,layer,head,entropy
50M,2,1,1.6166107654571533
50M,2,2,2.0802671909332275
50M,2,3,1.9953458309173584
50M,2,4,2.2608795166015625
50M,2,5,2.386172294616699
50M,2,6,1.1430699825286865
50M,2,7,2.344550371170044
50M,2,8,2.450421094894409
50M,2,9,2.536111354827881
50M,2,10,2.123701572418213
50M,2,11,2.2772743701934814
50M,3,0,1.8689230680465698
50M,3,1,1.2212574481964111
50M,3,2,1.9848257303237915
50M,3,3,2.0369255542755127
50M,3,4,2.3526086807250977
50M,3,5,2.0428032875061035
50M,3,6,0.4706115424633026
50M,3,7,2.023526430130005
50M,3,8,2.2689590454101562
50M,3,9,1.9160637855529785
50M,3,10,2.1851470470428467
50M,3,11,1.911755084991455
50M,4,0,1.8248789310455322
50M,4,1,2.0871074199676514
50M,4,2,1.9435406923294067
50M,4,3,2.0036258697509766
50M,4,4,1.8735711574554443
50M,4,5,2.467136859893799
50M,4,6,2.0743656158447266
50M,4,7,1.9600237607955933
50M,4,8,1.5660291910171509
50M,4,9,2.1645750999450684
50M,4,10,1.8699555397033691
50M,4,11,2.059908151626587
50M,5,0,0.6201889514923096
50M,5,1,0.677568256855011
50M,5,2,2.130659818649292
50M,5,3,1.6152209043502808
50M,5,4,1.9253060817718506
50M,5,5,0.6010600328445435
50M,5,6,0.8793189525604248
50M,5,7,2.268928289413452
50M,5,8,0.9292595386505127
50M,5,9,1.1145950555801392
50M,5,10,2.2836289405822754
50M,5,11,2.1780014038085938
50M,6,0,0.6640053391456604
50M,6,1,1.7776216268539429
50M,6,2,1.2906100749969482
50M,6,3,2.3316683769226074
50M,6,4,0.5910570621490479
50M,6,5,2.3972344398498535
50M,6,6,1.4059133529663086
50M,6,7,1.1200990676879883
50M,6,8,1.912550449371338
50M,6,9,2.248016357421875
50M,6,10,1.5023961067199707
50M,6,11,0.748447060585022
50M,7,0,2.053744077682495
50M,7,1,2.180320978164673
50M,7,2,2.451279640197754
50M,7,3,1.6504062414169312
50M,7,4,2.326997995376587
50M,7,5,2.2326183319091797
50M,7,6,2.032059907913208
50M,7,7,0.04623500257730484
50M,7,8,0.9541982412338257
50M,7,9,1.9547983407974243
50M,7,10,1.6964868307113647
50M,7,11,2.1622562408447266
50M,8,0,2.4481844902038574
50M,8,1,1.435482144355774
50M,8,2,1.6150583028793335
50M,8,3,2.1734325885772705
50M,8,4,2.2507269382476807
50M,8,5,1.6198676824569702
50M,8,6,2.4331467151641846
50M,8,7,1.317418098449707
50M,8,8,0.40176254510879517
50M,8,9,1.9997286796569824
50M,8,10,1.673257827758789
50M,8,11,1.0060341358184814
50M,9,0,2.548281192779541
50M,9,1,2.199958324432373
50M,9,2,2.281460762023926
50M,9,3,2.027146816253662
50M,9,4,0.1418381631374359
50M,9,5,0.5849411487579346
50M,9,6,1.741621971130371
50M,9,7,1.4461370706558228
50M,9,8,2.170975685119629
50M,9,9,2.2187187671661377
50M,9,10,2.4487032890319824
50M,9,11,1.8980239629745483
50M,10,0,2.408625841140747
50M,10,1,2.429489850997925
50M,10,2,1.9476574659347534
50M,10,3,2.508514165878296
50M,10,4,1.6596299409866333
50M,10,5,1.704917073249817
50M,10,6,1.2440803050994873
50M,10,7,2.1598591804504395
50M,10,8,2.4153051376342773
50M,10,9,2.414638042449951
50M,10,10,2.403031349182129
50M,10,11,1.7101945877075195
