checkpoint,layer,head,dla_score
20M,6,10,0.012304041534662247
20M,6,11,0.003979842644184828
20M,7,0,0.001763253821991384
20M,7,1,0.0004498045891523361
20M,7,2,-0.0048151444643735886
20M,7,3,0.007225779816508293
20M,7,4,-0.030514968559145927
20M,7,5,-0.0023597946856170893
20M,7,6,0.005217770114541054
20M,7,7,0.008614156395196915
20M,7,8,-0.0064345113933086395
20M,7,9,0.0057056439109146595
20M,7,10,-0.0024896087124943733
20M,7,11,-0.003018130548298359
20M,8,0,0.007765449583530426
20M,8,1,-0.00041959682130254805
20M,8,2,-0.003865719772875309
20M,8,3,0.004758815746754408
20M,8,4,0.01026042178273201
20M,8,5,0.006689349189400673
20M,8,6,0.011630128137767315
20M,8,7,0.014385976828634739
20M,8,8,-0.0005321756470948458
20M,8,9,0.0020248128566890955
20M,8,10,0.0020661239977926016
20M,8,11,0.020002109929919243
20M,9,0,0.0005254023126326501
20M,9,1,0.003779487917199731
20M,9,2,-0.0037105754017829895
20M,9,3,0.02183280885219574
20M,9,4,0.005179530009627342
20M,9,5,0.007444671355187893
20M,9,6,-0.0012004271848127246
20M,9,7,0.008093844167888165
20M,9,8,0.0002423721452942118
20M,9,9,0.0023374988231807947
20M,9,10,-0.005200741812586784
20M,9,11,-0.0033737330231815577
20M,10,0,0.001918084337376058
20M,10,1,0.003876534989103675
